stem,snippet_id,compound,class,dose,route,administered,context
aboharb2025,6,5-MeO-DMT,psychedelic,20 mg/kg,i.p.,True,"e (KET, 10 mg/kg, i.p., single dose),  5 /uni2010 methoxy /uni2010 N,N /uni2010 dimethyltryptamine (5-MeO-DMT or 5-MEO, "
aboharb2025,7,5-MeO-DMT,psychedelic,20 mg/kg,i.p.,True,"(5-MeO-DMT or 5-MEO, 20 mg/kg, i.p., single dose), 6/uniFB02 uoroN,N -diethyltryptamine (6/uniFB02 uoro-DET or 6-FDET, 2"
aboharb2025,7,6-FDET,psychedelic,20 mg/kg,i.p.,True,"(5-MeO-DMT or 5-MEO, 20 mg/kg, i.p., single dose), 6/uniFB02 uoroN,N -diethyltryptamine (6/uniFB02 uoro-DET or 6-FDET, 2"
aboharb2025,8,6-FDET,psychedelic,20 mg/kg,i.p.,True,"iethyltryptamine (6/uniFB02 uoro-DET or 6-FDET, 20 mg/kg, i.p., single dose), 3,4-methylenedioxy methamphetamine (MDMA, "
aboharb2025,8,MDMA,psychedelic,7.8 mg/kg,,True,"iethyltryptamine (6/uniFB02 uoro-DET or 6-FDET, 20 mg/kg, i.p., single dose), 3,4-methylenedioxy methamphetamine (MDMA, "
aboharb2025,9,saline,vehicle,10 mL/kg,i.p.,True,"ne (10 mL/kg, i.p.), 4 males and 4 females for 5-MeO-DMT (20 mg/kg, i.p.), 4 males and 4 females for 6/uniFB02 uoro-DET("
aboharb2025,9,5-MeO-DMT,psychedelic,20 mg/kg,i.p.,True,"ne (10 mL/kg, i.p.), 4 males and 4 females for 5-MeO-DMT (20 mg/kg, i.p.), 4 males and 4 females for 6/uniFB02 uoro-DET("
aboharb2025,9,6-FDET,psychedelic,20 mg/kg,i.p.,True,"ne (10 mL/kg, i.p.), 4 males and 4 females for 5-MeO-DMT (20 mg/kg, i.p.), 4 males and 4 females for 6/uniFB02 uoro-DET("
aboharb2025,10,6-FDET,psychedelic,20 mg/kg,i.p.,True,"0 mg/kg, i.p.), 4 males and 4 females for 6/uniFB02 uoro-DET(20mg/kg,i.p.),4malesand4femalesforacute /uniFB02 uoxetine ("
aboharb2025,10,fluoxetine,comparator,10 mg/kg,i.p.,True,"0 mg/kg, i.p.), 4 males and 4 females for 6/uniFB02 uoro-DET(20mg/kg,i.p.),4malesand4femalesforacute /uniFB02 uoxetine ("
aboharb2025,11,psilocybin,psychedelic,1 mg/kg,i.p.,True,"sults  ## Psychedelics and related drugs in the study  For this study, we evaluated 8 drug conditions: psilocybin (PSI, "
aboharb2025,12,psilocybin,psychedelic,1 mg/kg,i.p.,True,"the study  For this study, we evaluated 8 drug conditions: psilocybin (PSI, 1 mg/kg, i.p., single dose), ketamine (KET, "
aboharb2025,12,ketamine,anesthetic_or_analgesic,10 mg/kg,i.p.,True,"the study  For this study, we evaluated 8 drug conditions: psilocybin (PSI, 1 mg/kg, i.p., single dose), ketamine (KET, "
aboharb2025,13,5-MeO-DMT,psychedelic,20 mg/kg,,False,"ss as psilocybin 16 . There is clinical interest in evaluating 5-MeO-DMT as a treatment for depression 62,63 .Atadoseof "
aboharb2025,15,psilocybin,psychedelic,1 mg/kg,,True,"ing magnetic ear tags for automated detection of head movements. Our results showed that, unlike 1 mg/kg psilocybin and "
aboharb2025,16,psilocybin,psychedelic,1 mg/kg,,True,"nlike 1 mg/kg psilocybin and 20 mg/kg 5-MeO-DMT which elicited robust head-twitch responses 33 , mice administered with "
aboharb2025,16,5-MeO-DMT,psychedelic,20 mg/kg,,True,"nlike 1 mg/kg psilocybin and 20 mg/kg 5-MeO-DMT which elicited robust head-twitch responses 33 , mice administered with "
aboharb2025,17,psilocybin,psychedelic,1 mg/kg,i.p.,True,imaged in three batches. The /uniFB01 rst batch performed in August 2021 included 2 males and 2 females for psilocybin (
aboharb2025,18,psilocybin,psychedelic,1 mg/kg,i.p.,True,"ormed in August 2021 included 2 males and 2 females for psilocybin (1 mg/kg, i.p.), 2 males and 2 females for ketamine ("
aboharb2025,18,ketamine,anesthetic_or_analgesic,10 mg/kg,i.p.,True,"ormed in August 2021 included 2 males and 2 females for psilocybin (1 mg/kg, i.p.), 2 males and 2 females for ketamine ("
aboharb2025,19,psilocybin,psychedelic,1 mg/kg,i.p.,True,included in a previous study 43 .The second batch performed in May 2022 included 2 males and 2 females for psilocybin (1
aboharb2025,20,psilocybin,psychedelic,1 mg/kg,i.p.,True,"for psilocybin (1 mg/kg, i.p.), 2 males and 2 females for saline (10 mL/kg, i.p.), 4 males and 4 females for 5-MeO-DMT ("
aboharb2025,20,saline,vehicle,10 mL/kg,i.p.,True,"for psilocybin (1 mg/kg, i.p.), 2 males and 2 females for saline (10 mL/kg, i.p.), 4 males and 4 females for 5-MeO-DMT ("
aboharb2025,20,5-MeO-DMT,psychedelic,20 mg/kg,i.p.,True,"for psilocybin (1 mg/kg, i.p.), 2 males and 2 females for saline (10 mL/kg, i.p.), 4 males and 4 females for 5-MeO-DMT ("
aboharb2025,21,fluoxetine,comparator,10 mg/kg,i.p.,True,", i.p., single dose), acute /uniFB02 uoxetine (A-SSRI, 10 mg/kg, i.p., single dose), chronic /uniFB02 uoxetine (C-SSRI, "
aboharb2025,21,fluoxetine,comparator,10 mg/kg,i.p.,True,", i.p., single dose), acute /uniFB02 uoxetine (A-SSRI, 10 mg/kg, i.p., single dose), chronic /uniFB02 uoxetine (C-SSRI, "
adams2022,0,psilocybin,psychedelic,1.0 mg/kg,,False,"dose-dependent effects on HTRs [1-way ANOVA, F (4,24) = 5.18, p = 0.0037,  Fig.  3a].  Post  hoc  tests  showed  that  1"
adams2022,1,psilocybin,psychedelic,1.0 mg/kg,,True,",24) = 5.18, p = 0.0037,  Fig.  3a].  Post  hoc  tests  showed  that  1.0  mg/kg  psilocybin increased HTRs compared to "
adams2022,2,psilocybin,psychedelic,1.0 mg/kg,,True,"Post  hoc  tests  showed  that  1.0  mg/kg  psilocybin increased HTRs compared to 0 mg/kg (vehicle alone, p = 0.0003), 0"
adams2022,3,psilocybin,psychedelic,0.1 mg/kg,,True,"d  that  1.0  mg/kg  psilocybin increased HTRs compared to 0 mg/kg (vehicle alone, p = 0.0003), 0.1 mg/kg ( p = 0.008), "
adams2022,4,psilocybin,psychedelic,0.2 mg/kg,,True,"Fig.  4a],  with  post  hoc  tests  showing  that compared to vehicle alone, psilocybin significantly increased HTRs at "
adams2022,5,psilocybin,psychedelic,0.2 mg/kg,,True,"hoc  tests  showing  that compared to vehicle alone, psilocybin significantly increased HTRs at 0.2 mg/kg ( p = 0.044), "
adams2022,6,psilocybin,psychedelic,0.2 mg/kg,,True,"ompared to vehicle alone, psilocybin significantly increased HTRs at 0.2 mg/kg ( p = 0.044), 1 mg/kg ( p = 0.0007), and "
adams2022,6,psilocybin,psychedelic,1 mg/kg,,True,"ompared to vehicle alone, psilocybin significantly increased HTRs at 0.2 mg/kg ( p = 0.044), 1 mg/kg ( p = 0.0007), and "
adams2022,7,psilocybin,psychedelic,1.0 mg/kg,,True,ion when administered in a broth vehicle. (a) Psilocybin caused significant increases in the number of head twitches at 
adams2022,8,psilocybin,psychedelic,0.2 mg/kg,,True,"istered in a water vehicle. (a) Psilocybin caused significant increases in the number of head twitches at 0.2, 1.0, and "
adams2022,8,psilocybin,psychedelic,1.0 mg/kg,,True,"istered in a water vehicle. (a) Psilocybin caused significant increases in the number of head twitches at 0.2, 1.0, and "
adams2022,9,psilocybin,psychedelic,0.1 mg/kg,,True,"nd drug administration  Animals  receiving  drug  in  distilled  water  received  either  vehicle alone or 0.1, 0.2, 1, "
adams2022,9,psilocybin,psychedelic,0.2 mg/kg,,True,"nd drug administration  Animals  receiving  drug  in  distilled  water  received  either  vehicle alone or 0.1, 0.2, 1, "
adams2022,9,psilocybin,psychedelic,1 mg/kg,,True,"nd drug administration  Animals  receiving  drug  in  distilled  water  received  either  vehicle alone or 0.1, 0.2, 1, "
adams2022,9,psilocybin,psychedelic,2 mg/kg,,True,"nd drug administration  Animals  receiving  drug  in  distilled  water  received  either  vehicle alone or 0.1, 0.2, 1, "
adams2022,10,psilocybin,psychedelic,0.1 mg/kg,,True,"receiving  drug  in  distilled  water  received  either  vehicle alone or 0.1, 0.2, 1, 2 mg/kg psilocybin; 0.1, 0.2, 1, "
adams2022,10,psilocybin,psychedelic,0.2 mg/kg,,True,"receiving  drug  in  distilled  water  received  either  vehicle alone or 0.1, 0.2, 1, 2 mg/kg psilocybin; 0.1, 0.2, 1, "
adams2022,10,psilocybin,psychedelic,1 mg/kg,,True,"receiving  drug  in  distilled  water  received  either  vehicle alone or 0.1, 0.2, 1, 2 mg/kg psilocybin; 0.1, 0.2, 1, "
adams2022,10,psilocybin,psychedelic,2 mg/kg,,True,"receiving  drug  in  distilled  water  received  either  vehicle alone or 0.1, 0.2, 1, 2 mg/kg psilocybin; 0.1, 0.2, 1, "
adams2022,11,psilocybin,psychedelic,2 mg/kg,,True,"ed either vehicle alone (control broth at 1 mL/kg) or doses of their associated drug condition as follows: 0.1, 0.2, 1, "
adams2022,12,psilocybin,psychedelic,0.1 mg/kg,,True,"at 1 mL/kg) or doses of their associated drug condition as follows: 0.1, 0.2, 1, 2 mg/kg psilocybin; 0.13, 0.25, 1.26, 2"
adams2022,12,psilocybin,psychedelic,0.2 mg/kg,,True,"at 1 mL/kg) or doses of their associated drug condition as follows: 0.1, 0.2, 1, 2 mg/kg psilocybin; 0.13, 0.25, 1.26, 2"
adams2022,12,psilocybin,psychedelic,1 mg/kg,,True,"at 1 mL/kg) or doses of their associated drug condition as follows: 0.1, 0.2, 1, 2 mg/kg psilocybin; 0.13, 0.25, 1.26, 2"
adams2022,12,psilocybin,psychedelic,2 mg/kg,,True,"at 1 mL/kg) or doses of their associated drug condition as follows: 0.1, 0.2, 1, 2 mg/kg psilocybin; 0.13, 0.25, 1.26, 2"
adams2022,13,psilocybin,psychedelic,0.1 mg/kg,,True,"bin increased HTRs compared to 0 mg/kg (vehicle alone, p = 0.0003), 0.1 mg/kg ( p = 0.008), 0.2 mg/kg ( p = 0.034), and "
adams2022,13,psilocybin,psychedelic,0.2 mg/kg,,True,"bin increased HTRs compared to 0 mg/kg (vehicle alone, p = 0.0003), 0.1 mg/kg ( p = 0.008), 0.2 mg/kg ( p = 0.034), and "
adams2022,14,psilocybin,psychedelic,0.2 mg/kg,,True,"ificantly increased HTRs at 0.2 mg/kg ( p = 0.044), 1 mg/kg ( p = 0.0007), and 2 mg/kg ( p = 0.002). Additionally, both "
adams2022,14,psilocybin,psychedelic,1 mg/kg,,True,"ificantly increased HTRs at 0.2 mg/kg ( p = 0.044), 1 mg/kg ( p = 0.0007), and 2 mg/kg ( p = 0.002). Additionally, both "
adams2022,14,psilocybin,psychedelic,2 mg/kg,,True,"ificantly increased HTRs at 0.2 mg/kg ( p = 0.044), 1 mg/kg ( p = 0.0007), and 2 mg/kg ( p = 0.002). Additionally, both "
adams2022,15,psilocybin,psychedelic,0.2 mg/kg,,True,"creased HTRs at 0.2 mg/kg ( p = 0.044), 1 mg/kg ( p = 0.0007), and 2 mg/kg ( p = 0.002). Additionally, both 1 mg/kg and "
adams2022,15,psilocybin,psychedelic,1 mg/kg,,True,"creased HTRs at 0.2 mg/kg ( p = 0.044), 1 mg/kg ( p = 0.0007), and 2 mg/kg ( p = 0.002). Additionally, both 1 mg/kg and "
adams2022,15,psilocybin,psychedelic,2 mg/kg,,True,"creased HTRs at 0.2 mg/kg ( p = 0.044), 1 mg/kg ( p = 0.0007), and 2 mg/kg ( p = 0.002). Additionally, both 1 mg/kg and "
adams2022,16,psilocybin,psychedelic,1 mg/kg,,True,"44), 1 mg/kg ( p = 0.0007), and 2 mg/kg ( p = 0.002). Additionally, both 1 mg/kg and 2 mg/kg increased HTRs compared to "
adams2022,16,psilocybin,psychedelic,2 mg/kg,,True,"44), 1 mg/kg ( p = 0.0007), and 2 mg/kg ( p = 0.002). Additionally, both 1 mg/kg and 2 mg/kg increased HTRs compared to "
almeida2022,0,ethanol,vehicle,15% v/v,,False,"(Merck S. A., Brazil) was diluted with 0.9 % saline to obtain a 15 % v/v solution, and it was administered at a dose of "
almeida2022,1,ethanol,comparator,2.2 g/kg,,True,tization  to  ethanol  was  evaluated  by  the following protocol (3 phases): Acquisition phase -mice received ethanol (
almeida2022,2,ethanol,comparator,2.2 g/kg,,True,"for  10  min  (data  not  shown). Expression phase -on the last day of the protocol, mice were challenged with ethanol ("
almeida2022,3,saline,vehicle,2.2 g/kg,,True,"valuated in the open field for 10 min. On D1, D3, D5, D7, and D9, the animals  received  an  injection  of  saline  or  "
almeida2022,4,ethanol,comparator,2.2 g/kg,,True,"ET, c -compared with ET-SAL-ET.  picture-7.png  Table 2 Plasma ethanol concentration 20 min after the last injection of "
almeida2022,5,ayahuasca,psychedelic,1.76 mg/kg,,True,"was evaluated 10 min after each  injection.  Then,  animals  were  treated  daily  with  ayahuasca  (corresponding  to  "
almeida2022,6,ayahuasca,psychedelic,2.2 g/kg,,False,tudy aimed to evaluate the effects of ayahuasca on ethanol-induced behavioral sensitization (EIBS). Swiss mice received 
alper2018,0,LSD,psychedelic,50 mg/kg,,True,"5, p = 0.2722; Figure 1F ).  In the group treated with 50 m g/kg LSD, mean daily ethanol consumption was 13.62 GLYPH<6> "
alper2018,1,LSD,psychedelic,50 mg/kg,,True,"treated with 50 m g/kg LSD, mean daily ethanol consumption was 13.62 GLYPH<6> 3.02 g/kg/day compared to 16.60 GLYPH<6> 3"
alper2023,0,M100907,antagonist,1 mg/kg,,False,ditional 9 days treatment periods (total of 3 doses each) prior to respective test sessions. 5-HT2AR antagonist M100907 
alper2023,1,ethanol,other,0.5 mg/kg,,False,on ethanol consumption and preference for all dosages collectively in males for days 1 -3(Table 2). Only the effects of 
alper2023,2,DMT,psychedelic,100 mg/kg,,True,"| | Serra et al. (2022)              | Ayahuasca, lyophilized containing 0.4% N,N dimethyltryptamine (DMT) 100 mg/kg, in"
alper2023,3,DOI,psychedelic,0.1 mg/kg,i.p.,True,"| | Berquist and Fantegrossi, (2021) | DOI 0.1, 0.32, or 1 mg/kg i.p., subcutaneous, single dose"
alper2023,3,DOI,psychedelic,0.32 mg/kg,i.p.,True,"| | Berquist and Fantegrossi, (2021) | DOI 0.1, 0.32, or 1 mg/kg i.p., subcutaneous, single dose"
alper2023,3,DOI,psychedelic,1 mg/kg,i.p.,True,"| | Berquist and Fantegrossi, (2021) | DOI 0.1, 0.32, or 1 mg/kg i.p., subcutaneous, single dose"
alper2023,4,DOI,other,0.32 mg/g,,False,"preference for at least 24 h following administration of DOI, dose-related. Total /uniFB02 uid consumption reduced with "
alper2023,5,DOI,psychedelic,3 mg/kg,i.p.,True,"| | Oppong-Damoah et al. (2019)      | DOI 3 mg/kg, i.p., single dose. 5- HT2AR antagonist M100907 0.1 mg/kg i.p. preced"
alper2023,5,M100907,antagonist,0.1 mg/kg,i.p.,True,"| | Oppong-Damoah et al. (2019)      | DOI 3 mg/kg, i.p., single dose. 5- HT2AR antagonist M100907 0.1 mg/kg i.p. preced"
alper2023,6,DOI,psychedelic,3 mg/kg,i.p.,True,"| | Oppong-Damoah et al. (2019)      | DOI 3 mg/kg, i.p., single dose. 5- HT2AR antagonist M100907 0.1 mg/kg i.p. preced"
alper2023,6,M100907,antagonist,0.1 mg/kg,i.p.,True,"| | Oppong-Damoah et al. (2019)      | DOI 3 mg/kg, i.p., single dose. 5- HT2AR antagonist M100907 0.1 mg/kg i.p. preced"
alper2023,7,DOI,other,3.0 mg/kg,,False,"----------------------------------------------------------------------------| | Maurel et al. (1999a) | DOI 0.3 1.0, or "
alper2023,8,DOI,psychedelic,0.3 mg/kg,i.p.,True,"----------------| | Maurel et al. (1999a) | DOI 0.3 1.0, or 3.0 mg/kg i.p., single dose. 5-HT2AR antagonists ritanserin "
alper2023,8,DOI,psychedelic,1.0 mg/kg,i.p.,True,"----------------| | Maurel et al. (1999a) | DOI 0.3 1.0, or 3.0 mg/kg i.p., single dose. 5-HT2AR antagonists ritanserin "
alper2023,8,DOI,psychedelic,3.0 mg/kg,i.p.,True,"----------------| | Maurel et al. (1999a) | DOI 0.3 1.0, or 3.0 mg/kg i.p., single dose. 5-HT2AR antagonists ritanserin "
alper2023,8,ritanserin,antagonist,3 mg/kg,,True,"----------------| | Maurel et al. (1999a) | DOI 0.3 1.0, or 3.0 mg/kg i.p., single dose. 5-HT2AR antagonists ritanserin "
alper2023,9,DOI,psychedelic,0.3 mg/kg,i.p.,True,"urel et al. (1999a) | DOI 0.3 1.0, or 3.0 mg/kg i.p., single dose. 5-HT2AR antagonists ritanserin 3 mg/kg or MDL100,907 "
alper2023,9,DOI,psychedelic,1.0 mg/kg,i.p.,True,"urel et al. (1999a) | DOI 0.3 1.0, or 3.0 mg/kg i.p., single dose. 5-HT2AR antagonists ritanserin 3 mg/kg or MDL100,907 "
alper2023,9,DOI,psychedelic,3.0 mg/kg,i.p.,True,"urel et al. (1999a) | DOI 0.3 1.0, or 3.0 mg/kg i.p., single dose. 5-HT2AR antagonists ritanserin 3 mg/kg or MDL100,907 "
alper2023,9,MDL100907,antagonist,0.3 mg/kg,,True,"urel et al. (1999a) | DOI 0.3 1.0, or 3.0 mg/kg i.p., single dose. 5-HT2AR antagonists ritanserin 3 mg/kg or MDL100,907 "
alper2023,10,DOI,other,3.0 mg/kg,,False,d ethanol consumption and preference over 12 h post- administration interval versus 12 h baseline interval with 0.3 and 
alper2023,11,DOI,other,1.0 mg/kg,,False,"ost- administration interval versus 12 h baseline interval with 0.3 and 3.0 mg/kg DOI, no signi /uniFB01 cant effect of "
alper2023,12,DOI,psychedelic,0.1 mg/kg,i.p.,True,"| | Maurel et al. (1999b) | DOI 0.1 and 0.3 mg/kg i.p., single dose                                                     "
alper2023,12,DOI,psychedelic,0.3 mg/kg,i.p.,True,"| | Maurel et al. (1999b) | DOI 0.1 and 0.3 mg/kg i.p., single dose                                                     "
alper2023,13,DOI,other,0.3 mg/kg,,False,essions during 12 h dark phase of day/night cycle                                 | Reduced responding for ethanol with 
alper2023,14,DOI,other,0.1 mg/kg,,False,"se of day/night cycle                                 | Reduced responding for ethanol with 0.3 mg/kg DOI, no effect of "
alper2023,15,DOI,psychedelic,3 mg/kg,i.p.,True,"| | Maurel et al. (2000)  | DOI 3 mg/kg i.p., single dose"
alper2023,16,TCB-2,psychedelic,0.1 mg/kg,i.p.,True,"| | Kimmey et al. (2022)  | TCB-2 0.1, 1.0 mg/kg i.p., single dose administered 22 h prior to each of 3 consecutive test"
alper2023,16,TCB-2,psychedelic,1.0 mg/kg,i.p.,True,"| | Kimmey et al. (2022)  | TCB-2 0.1, 1.0 mg/kg i.p., single dose administered 22 h prior to each of 3 consecutive test"
alper2023,17,TCB-2,other,1.0 mg/kg,,False,| Reduced ethanol consumption and preference averaged across 3 test sessions with 1.0 mg/kg TCB-2 in mice with a high ( 
alper2023,18,TCB-2,other,0.1 mg/kg,,False,"high ( > 50%) preference for ethanol, no effect on drinking in mice with low ( < 50%) ethanol preference. No effect of 0"
alper2023,19,psilocybin,psychedelic,0.1 mg/kg,i.p.,True,"male and female C57BL/6J mice administered saline or psilocybin intraperitoneally as a single dose of 0.1, 0.5, 1.0 or 2"
alper2023,19,psilocybin,psychedelic,0.5 mg/kg,i.p.,True,"male and female C57BL/6J mice administered saline or psilocybin intraperitoneally as a single dose of 0.1, 0.5, 1.0 or 2"
alper2023,19,psilocybin,psychedelic,1.0 mg/kg,i.p.,True,"male and female C57BL/6J mice administered saline or psilocybin intraperitoneally as a single dose of 0.1, 0.5, 1.0 or 2"
alper2023,19,psilocybin,psychedelic,2 mg/kg,i.p.,True,"male and female C57BL/6J mice administered saline or psilocybin intraperitoneally as a single dose of 0.1, 0.5, 1.0 or 2"
alper2023,20,psilocybin,other,0.5 mg/kg,,False,effect of psilocybin on ethanol consumption was dose-related and was consistent across the 3-day interval at dosages of 
alper2023,21,psilocybin,other,2.5 mg/kg,,False,-----------------------------------------------------------------| | Meinhardt et al. (2021)          | Psilocybin 1 or 
alper2023,22,psilocybin,other,2.5 mg/kg,,False,"| Reduced ethanol self- administration 4 h following both the 1 and the 2.5 mg/kg psilocybin dosages, effect not dose-re"
alper2023,23,psilocybin,psychedelic,0.1 mg/kg,i.p.,True,"| | Meinhardt et al. (2020)          | Psilocybin 0.1, 1.0, 2.5 or 10 mg/kg i.p., administered 2 to 8 times across 3 dif"
alper2023,23,psilocybin,psychedelic,1.0 mg/kg,i.p.,True,"| | Meinhardt et al. (2020)          | Psilocybin 0.1, 1.0, 2.5 or 10 mg/kg i.p., administered 2 to 8 times across 3 dif"
alper2023,23,psilocybin,psychedelic,2.5 mg/kg,i.p.,True,"| | Meinhardt et al. (2020)          | Psilocybin 0.1, 1.0, 2.5 or 10 mg/kg i.p., administered 2 to 8 times across 3 dif"
alper2023,23,psilocybin,psychedelic,10 mg/kg,i.p.,True,"| | Meinhardt et al. (2020)          | Psilocybin 0.1, 1.0, 2.5 or 10 mg/kg i.p., administered 2 to 8 times across 3 dif"
alper2023,24,psilocybin,other,1.0 mg/kg,,False,| Reduced ethanol consumption over a 24-h interval following the second of a series of /uniFB01 ve 1.0 mg/kg psilocybin 
alper2023,25,psilocybin,psychedelic,0.1 mg/kg,,True,"nol consumed on the preceding day and administered vehicle (saline) or psilocybin as a single dose of 0.1, 0.5, 1.0, or "
alper2023,25,psilocybin,psychedelic,0.5 mg/kg,,True,"nol consumed on the preceding day and administered vehicle (saline) or psilocybin as a single dose of 0.1, 0.5, 1.0, or "
alper2023,25,psilocybin,psychedelic,1.0 mg/kg,,True,"nol consumed on the preceding day and administered vehicle (saline) or psilocybin as a single dose of 0.1, 0.5, 1.0, or "
alper2023,26,psilocybin,psychedelic,0.5 mg/kg,,True,"ontaining quinine (0.06 mM) for a week. Mice were then administered either vehicle (saline) or psilocybin (0.5, 1.0, or "
alper2023,26,psilocybin,psychedelic,1.0 mg/kg,,True,"ontaining quinine (0.06 mM) for a week. Mice were then administered either vehicle (saline) or psilocybin (0.5, 1.0, or "
alper2023,27,psilocybin,psychedelic,0.5 mg/kg,,True,"4-h period beginning at the dark cycle following administration of either vehicle (saline) or psilocybin (0.5, 1.0, and "
alper2023,27,psilocybin,psychedelic,1.0 mg/kg,,True,"4-h period beginning at the dark cycle following administration of either vehicle (saline) or psilocybin (0.5, 1.0, and "
alper2023,28,psilocybin,psychedelic,0.1 mg/kg,,True,"ily ethanol consumption and preference for 3 days immediately following a single psilocybin dosage of 0.1, 0.5, 1.0, or "
alper2023,28,psilocybin,psychedelic,0.5 mg/kg,,True,"ily ethanol consumption and preference for 3 days immediately following a single psilocybin dosage of 0.1, 0.5, 1.0, or "
alper2023,28,psilocybin,psychedelic,1.0 mg/kg,,True,"ily ethanol consumption and preference for 3 days immediately following a single psilocybin dosage of 0.1, 0.5, 1.0, or "
alper2023,29,psilocybin,other,2.0 mg/kg,,False,"s of reduced ethanol consumption or preference across the 3 days of observation for psilocybin dosages of 0.5, 1.0, and "
alper2023,30,psilocybin,other,0.1 mg/kg,,False,"ybin on alcohol drinking behavior in male mice appears to be dose-related, no univariate comparison to control with the "
alper2023,31,psilocybin,other,0.1 mg/kg,,False,n and preference in male mice appears to be dose related; in Table 2 only one of the four comparisons restricted to the 
alper2023,32,psilocybin,other,2.0 mg/kg,,False,"mice was signi /uniFB01 cant, in contrast to the signi /uniFB01 cant results for comparisons involving the 0.5, 1.0, or "
alper2023,33,psilocybin,psychedelic,0.1 mg/kg,,True,"preference in male and female mice across the 3-day interval following a single psilocybin dosage of 0.1, 0.5, 1.0, or 2"
alper2023,33,psilocybin,psychedelic,0.5 mg/kg,,True,"preference in male and female mice across the 3-day interval following a single psilocybin dosage of 0.1, 0.5, 1.0, or 2"
alper2023,33,psilocybin,psychedelic,1.0 mg/kg,,True,"preference in male and female mice across the 3-day interval following a single psilocybin dosage of 0.1, 0.5, 1.0, or 2"
alper2023,33,psilocybin,psychedelic,2 mg/kg,,True,"preference in male and female mice across the 3-day interval following a single psilocybin dosage of 0.1, 0.5, 1.0, or 2"
alper2023,34,psilocybin,psychedelic,0.1 mg/kg,,True,"ehicle-only controls in male and female C57BL/6J mice. Psilocybin was administered as a single dosage of 0.1, 0.5, 1 or "
alper2023,34,psilocybin,psychedelic,0.5 mg/kg,,True,"ehicle-only controls in male and female C57BL/6J mice. Psilocybin was administered as a single dosage of 0.1, 0.5, 1 or "
alper2023,34,psilocybin,psychedelic,1 mg/kg,,True,"ehicle-only controls in male and female C57BL/6J mice. Psilocybin was administered as a single dosage of 0.1, 0.5, 1 or "
alper2023,35,psilocybin,other,2 mg/kg,,False,"ded each of the four respective psilocybin dosages individually, and all four dosages collectively ( ' 0.1, 0.5, 1, and "
alper2023,36,psilocybin,other,3.90 g/kg,,False,"oss the 3 days immediately following the administration of psilocybin, mean ethanol consumption for females was 15.52 ± "
alper2023,37,psilocybin,other,2.15 g/kg,,False,"llowing the administration of psilocybin, mean ethanol consumption for females was 15.52 ± 3.90 g/kg/day versus 10.80 ± "
alper2023,38,psilocybin,other,0.5 mg/kg,,False,"ted in Figure 4,thesigni /uniFB01 cant effect on ambulatory counts appears to have been driven by larger counts for the "
alper2023,39,psilocybin,other,1 mg/kg,,False,"including repeated ' microdosing ' , found only a reduction in ethanol consumption for 24 h following the second of two "
alper2023,40,LSD,psychedelic,50 µg/kg,,False,"consumption and preference in male C57BL/6J mice are 50 /uni03BC g/kg for LSD (Alper et al., 2018), and in this study, 0"
alper2023,41,LSD,psychedelic,52.9 µg/kg,,False,cybin. These dosages are similar to the respective reported values for mouse HTR ED50 of 52.9 /uni03BC g/kg for LSD and 
alper2023,42,TBG,psychedelic,50 mg/kg,i.p.,True,"| | Cameron et al. (2021) | TBG 50 mg/kg i.p., single dose"
