study_id,doi,species,strain,psychedelic,n_assays,n_disagreements,n_low_confidence,behav_complexity,env_complexity,rec_duration,behav_complexity_mean,env_complexity_mean,rec_duration_mean
De Gregorio2022,10.1038/s41386-022-01301-9,mouse,C57BL/6N,LSD,11,0,76,3.75,4.09,6.82,1.14,0.87,3.22
Habelt2024,https://doi.org/10.1038/s41398-024-03189-z,rat,Wistar,psilocybin,1,0,0,3.75,0.0,2.73,3.75,0.0,2.73
Hagsater2021,10.1093/ijnp/pyab040,rat,Sprague Dawley,"psilocybin, 25CN-NBOH, TCB-2",2,0,1,2.5,0.0,2.73,2.5,0.0,2.04
Halberstadt2020,10.1016/j.neuropharm.2019.107856,mouse and rat,C57BL/6J mice and Sprague-Dawley rats,"ALD-52, 1P-LSD, 1B-LSD",1,0,5,2.5,0.0,2.73,2.5,0.0,2.73
Halberstadt2020,,mouse,C57BL/6J,"DOM, DOET, DOBU, DOC, R-(-)-DOI, DON, MDA, R-(-)-MDA, !-Et-2C-D, 25D-NBOMe, 25I-NBOH, DMT, DET, DPT, DIPT, 5-MeO-AMT",1,0,3,1.25,0.0,2.73,1.25,0.0,2.73
Harari2024,10.1016/j.isci.2024.109686,mouse,C57BL/6J,psilocybin,5,0,20,3.75,2.73,1.36,2.0,0.82,0.82
Henriques2021,10.3389/fphar.2021.739012,mouse,Swiss male mice,ibogaine,1,0,1,3.75,2.73,9.55,3.75,2.73,9.55
Hernandez-Leon2024,10.1016/j.jep.2023.117415,mouse,Swiss Webster,Psilocybe cubensis,4,0,13,3.75,2.73,6.82,2.5,0.68,3.07
Hesselgrave2021,10.1073/pnas.2022489118,mouse,C57BL/6J,psilocybin,5,0,14,1.25,2.73,6.82,0.75,1.36,4.36
Hibicke2020,10.1021/acschemneuro.9b00493,rat,Wistar-Kyoto (WKY),"psilocybin, LSD",3,0,3,3.75,0.0,8.18,2.5,0.0,4.55
Higgins2021,10.3389/fphar.2021.640241,rat,Long Evans,"psilocybin, ketamine",4,0,4,6.25,2.73,6.82,5.0,1.71,6.14
Hinchcliffe2024,10.1126/scitranslmed.adi2403,rat,Lister Hooded,psilocybin,3,0,23,2.5,2.73,6.82,2.5,2.73,4.55
Horrocks2024,10.1152/jn.00411.2024,mouse,C57BL/6J,DOI,2,0,12,2.5,2.73,5.45,1.88,1.36,3.41
Inserra2023,10.1111/bph.15977,mouse,C57BL/6N,LSD,2,0,8,10.0,5.45,5.45,8.75,5.45,4.77
Jacobs2024,10.1016/j.nlm.2024.107954,rat,Long-Evans,psilocybin,4,0,26,5.0,1.36,6.82,3.44,1.02,4.09
Jaster2022,https://doi.org/10.1007/s00213-022-06092-x,mouse and rat,"C57BL/6 (mice), Sprague-Dawley (rats)","DOI, LSD, mescaline, psilocybin",2,0,1,3.75,0.0,5.45,3.75,0.0,5.45
Jaster2022,10.1016/j.neulet.2022.136836,mouse,"C57BL/6J, 129S6/SvEv",DOI,2,0,10,3.75,1.36,4.09,3.75,1.36,4.09
Jaster2022,https://doi.org/10.1007/s00213-022-06092-x,mouse and rat,"C57BL/6 male mice, Sprague-Dawley rats","DOI, LSD, psilocybin, mescaline, salvinorin A",2,0,14,3.75,0.0,6.82,3.75,0.0,6.82
Jeanblanc2024,10.1093/brain/awae136,rat,Long-Evans,psilocybin,4,0,29,5.0,1.36,4.09,5.0,1.36,4.09
Jefferson2022,10.1101/2022.11.03.515044,mouse,C57BL/6J,5-MeO-DMT,2,0,15,8.75,5.45,4.09,6.88,2.73,3.41
Jefferson2023,https://doi.org/10.1038/s41386-023-01572-w,mouse,C57BL/6J,5-MeO-DMT,2,0,5,7.5,2.73,6.82,5.62,1.36,4.78
Diniz2019,,rat,,null,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Jensen2020,https://doi.org/10.1016/j.bcp.2020.113979,mouse,C57BL/6J,"25CN-NBOH, 25CN-NBMD, DOI",3,0,15,3.75,1.36,1.36,2.92,0.45,1.36
Jones2020,10.1101/2020.08.12.248229,mouse,C57BL/6J,psilocybin,5,0,17,3.75,4.09,9.55,3.0,1.09,4.64
Jones2023,10.1021/acsptsci.3c00123,mouse,C57BL/6,psilocybin,4,0,31,5.0,1.36,5.45,3.75,0.34,4.09
Kelly2023,10.1038/s41386-023-01744-8,mouse,C57BL/6J,4-OH-DiPT,5,0,6,3.75,2.73,8.18,2.5,0.82,3.82
Kiilerich2023,10.1038/s41380-023-02280-z,rat,Long Evans,psilocybin,5,0,13,7.5,4.09,8.18,4.75,1.36,4.09
Kimmey2022,10.1111/adb.13147,mouse,C57BL/6J,TCB-2,2,0,9,3.75,8.18,5.45,3.12,8.18,4.77
Klein2021,10.1021/acsptsci.0c00176,mouse,C57BL/6J,"psilocin, 4-HO-MET, 4-HO-MPT, 4-HO-MIPT, 4-HO-DET, 4-HO-EPT, 4-HO-DPT, 4-HO-DIPT, 4-HO-MALT, 4-AcO-DMT, 4-AcO-MET, 4-AcO-MPT, 4-AcO-MIPT, 4-AcO-DET, 4-AcO-EPT, 4-AcO-DPT, 4-AcO-DIPT",1,0,2,2.5,0.0,2.73,2.5,0.0,2.73
Kolasa2024,10.1007/s00213-024-06644-3,rat,Wistar-Kyoto and Wistar,Psilocybin,3,0,5,13.75,2.73,6.82,7.5,0.91,5.45
Kolasa2024,https://doi.org/10.1007/s00213-024-06644-3,rat,Wistar Kyoto and Wistar,Psilocybin,3,0,2,7.5,2.73,8.18,4.58,0.91,5.91
Kolbman2023,https://doi.org/10.1016/j.cub.2023.10.016,rat,Sprague Dawley,psilocybin,1,0,2,3.75,0.0,9.55,3.75,0.0,9.55
Liu2023,10.1016/j.pbb.2023.173659,mouse,C57BL/6,"DOI, lisuride",5,0,49,2.5,1.36,4.09,2.5,0.27,3.0
Marcher-Rorsted2020,10.1021/acschemneuro.0c00129,mouse,C57BL/6J,"2,5-dimethoxyphenethylamine derivatives (compounds 1-6)",1,0,3,2.5,0.0,2.73,2.5,0.0,2.73
Martin2024,10.1038/s41386-024-01912-4,rat,Sprague-Dawley,DOI,4,0,16,5.0,1.36,6.82,4.38,1.36,4.78
Meinhardt2020,10.1038/s41386-020-0694-z,rat,Wistar,"Psilocybin, LSD",3,0,19,5.0,4.09,8.18,5.0,4.09,7.27
Meinhardt2021,10.1126/sciadv.abh2399,rat,Wistar,psilocybin,4,0,40,3.75,1.36,8.18,2.81,1.36,3.41
Moliner2023,https://doi.org/10.1038/s41593-023-01316-5,mouse,C57BL/6NTac-NTrk2em6006 (Y433F+/-) and C57BL/6JRccHsd WT,"LSD, psilocin (PSI)",3,0,2,1.25,0.0,9.55,0.83,0.0,5.91
Morales-Garcia2020,10.1038/s41398-020-01011-0,mouse,C57/BL6,DMT,4,0,10,6.25,0.0,6.82,4.38,0.0,4.77
Muir2024,10.1126/science.ad10666,mouse,,DOI,7,0,20,2.5,1.36,4.09,1.79,0.78,3.31
Nardou2023,10.1038/s41586-023-06204-3,mouse,C57BL/6J,"psilocybin, LSD, ketamine, ibogaine, MDMA",1,0,0,5.0,2.73,5.45,5.0,2.73,5.45
Nogueira2024,10.1038/s41380-024-02655-w,mouse,C57BL6J,5-MeO-DMT,2,0,6,3.75,0.0,2.73,3.12,0.0,2.73
Odland2020,10.1007/s00213-020-05687-6,mouse,C57BL/6JOlaHsd,fluoxetine,1,0,3,6.25,1.36,4.09,6.25,1.36,4.09
Odland2021,10.1016/j.neuropharm.2019.107838,mouse,C57BL/6JOlaHsd,"DOI, 25CN-NBOH",4,0,31,3.75,1.36,2.73,3.44,1.02,2.04
Oliveira2023,https://doi.org/10.1016/j.bbr.2023.114436,rat,Wistar,DOI,1,0,5,2.5,0.0,4.09,2.5,0.0,4.09
Ornelas2022,10.1016/j.expneurol.2022.114148,rat,Wistar,LSD,1,0,6,2.5,0.0,4.09,2.5,0.0,4.09
Pędzich2022,10.1038/s41386-022-01324-2,mouse,C57BL/6J,DOI,10,0,37,5.0,2.73,10.91,3.12,0.96,3.41
Pídzich2022,10.3390/ijms232315284,mouse,C57BL/6JRj,DOI,2,0,6,5.0,1.36,5.45,3.75,0.68,4.77
Pedzich2022,10.1038/s41386-022-01324-2,mouse,C57BL/6J,DOI,6,0,9,5.0,2.73,10.91,2.92,1.36,3.41
Pogorelov2023,10.3389/fmolb.2023.1233743,mouse,,lisuride,8,0,55,5.0,8.18,12.27,2.81,1.88,5.11
Pohořalá2024,10.1016/j.neuroscience.2024.09.006,rat and mouse,"C57BL/6N (mice), Sprague Dawley (rats)",psilocybin,2,0,3,3.75,0.0,6.82,3.75,0.0,6.13
Popik2022,https://doi.org/10.1007/s00213-021-06020-5,rat,Sprague-Dawley,"psilocybin, psilocin, norpsilocin",2,0,13,5.0,1.36,6.82,4.38,1.36,6.82
Puigseslloses2024,10.1038/s41380-024-02506-8,mouse,CD-1,5-MeO-DMT derivatives,3,0,27,3.75,1.36,2.73,2.5,1.36,1.36
Qu2023,10.1016/j.pbb.2022.173500,mouse,C57BL/6,DOI,2,0,5,1.25,0.0,2.73,1.25,0.0,2.04
Rahbarnia2023,https://doi.org/10.1007/s00213-023-06474-9,mouse,C57BL/6 J,"psilocybin, TCB-2, M100907",4,0,24,3.75,1.36,6.82,3.44,1.02,4.43
Raithatha2024,https://doi.org/10.1021/acs.jmedchem.3c01225,mouse,C57BL/6,psilocin,2,0,8,2.5,1.36,4.09,2.5,0.68,4.09
Rakoczy2024,10.1111/bph.16466,rat,Long Evans,"psilocybin, norbaeocystin, baeocystin, aeruginascin",2,0,0,2.5,2.73,4.09,1.88,2.04,4.09
Reinwald2023,10.1038/s41398-023-02690-1,rat,Wistar,Psilocybin,1,0,1,2.5,0.0,5.45,2.5,0.0,5.45
Revenga2021,https://doi.org/10.1016/j.celrep.2021.109836,mouse,"129S6/SvEv, C57BL/6NTac, 5-HT2AR+/+, 5-HT2AR-/-, C57BL/6J",DOI,7,0,39,6.25,2.73,6.82,2.5,0.58,3.51
Rysketic2023,10.1038/s41386-023-01613-4,mouse,,psilocybin,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Roberts2023,10.1016/j.bbr.2022.114262,rat,Long Evans,Psilocybin,4,0,34,3.75,1.36,4.09,3.44,1.36,2.73
Rodriguiz2021,10.1038/s41598-021-96736-3,mouse,C57BL/6J,LSD,6,0,41,5.0,1.36,5.45,3.54,0.45,2.96
Rogers2024,10.1038/s41593-025-01964-9,mouse,C57BL/6J,psilocybin,2,0,7,7.5,2.73,9.55,6.88,1.36,7.5
Sabanovic2024,10.1038/s41380-024-02439-2,mouse,C57BL/6J,(±)-DOI,1,0,2,7.5,0.0,10.91,7.5,0.0,10.91
Sekssaoui2024,https://doi.org/10.1038/s41386-024-01794-6,mouse,C57BL/6J,"DOI, psilocybin",5,0,31,3.75,2.73,5.45,2.0,0.82,3.55
Shao2021,https://doi.org/10.1101/2021.02.17.431629,mouse,"C57BL/6J, Thy1GFP",psilocybin,2,0,16,5.0,1.36,5.45,3.75,1.36,4.77
Shao2024,10.1101/2024.11.02.621692,mouse,C57BL/6J,psilocybin,4,0,23,2.5,1.36,6.82,2.19,0.34,3.07
Singh2023,https://doi.org/10.1038/s41398-023-02456-9,mouse,ICR,psilocybin,3,0,0,3.75,1.36,5.45,2.92,0.45,3.64
Takaba2023,https://doi.org/10.21203/rs.3.rs-3138705/v1,mouse,C57BL/6J,"psilocin, DOI, TCB-2",6,0,5,8.75,2.73,6.82,2.92,0.68,4.32
Takaba2023,10.1007/s00210-023-02778-x,mouse,C57BL/6J,"psilocin, DOI, TCB-2",6,0,0,8.75,2.73,5.45,2.29,0.68,3.41
Tiwari2024,10.1016/j.neuron.2024.08.016,rat,Sprague-Dawley,DOI,2,0,19,3.75,0.0,2.73,3.12,0.0,2.73
Pacheco2023,10.1038/s41386-023-01545-z,rat,Long-Evans,"psilocybin, DOI",2,0,5,7.5,2.73,6.82,5.62,2.04,6.82
Tsybko2020,10.1007/s11064-020-03153-5,mouse,C57Bl/6,"DOI, TCB-2, 25CN-NBOH",6,0,7,7.5,2.73,6.82,3.33,0.91,2.73
Vargas2023,10.1126/science.adf0435,mouse,null,5-MeO-DMT,5,0,24,1.25,0.0,4.09,1.25,0.0,1.64
Villalba2024,10.3390/ijms25020687,mouse,129S6/SvEv,noribogaine,1,0,5,1.25,1.36,4.09,1.25,1.36,4.09
Vohra2021,https://doi.org/10.1007/s00213-021-05913-9,mouse,129S6/SvEv,"DOI, LSD",2,0,16,5.0,0.0,4.09,3.75,0.0,2.73
Wang2023,10.1111/cns.14054,mouse,C57BL/6J,psilocin,4,0,31,2.5,1.36,6.82,2.19,1.02,5.11
Wang2025,https://doi.org/10.1016/j.pnpbp.2024.111243,rat,Wistar,Psilocybin,5,0,0,3.75,2.73,6.82,2.5,1.09,4.36
Warren2024,https://doi.org/10.1038/s41586-024-07403-2,mouse,C57BL/6J,"5-MeO-DMT, 4-F,5-MeO-PyrT",4,0,0,7.5,1.36,5.45,3.44,0.68,2.73
Werle2024,10.1111/bph.16315,rat,Wistar,Ayahuasca (DMT),6,0,0,3.75,2.73,8.18,3.54,1.59,5.45
Wojtas2022,10.3390/ijms23126713,rat,Wistar Han,psilocybin,3,0,34,3.75,2.73,4.09,3.75,0.91,2.27
Wojtas2024,10.3390/ijms25010100,rat,Wistar-Han,psilocybin,1,0,7,3.75,1.36,2.73,3.75,1.36,2.73
Yu2023,https://doi.org/10.1016/j.neuropharm.2023.109452,rat,Sprague-Dawley,25C-NBOMe,2,0,13,3.75,0.0,4.09,3.12,0.0,3.41
Yu2024,10.1186/s12868-024-00903-x,rat,Sprague-Dawley,psilocybin,4,0,23,2.5,0.0,4.09,1.88,0.0,2.73
Sabanovic2024,10.1038/s41380-024-02439-2,mouse,C57BL/6J,(±)-DOI,1,0,3,6.25,2.73,10.91,6.25,2.73,10.91
Zhao2024,10.1177/02698811241249436,mouse,C57BL/6J,psilocybin,4,0,23,2.5,5.45,5.45,2.19,1.7,3.41
